[0504/152257.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152334.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152336.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152434.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152516.532:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152522.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152535.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152543.512:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152629.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152646.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152711.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152757.517:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152819.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152822.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152825.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152826.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152904.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152907.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/152958.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153015.517:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153019.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153033.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153037.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153113.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153136.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153159.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153216.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153251.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153309.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153315.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153322.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153327.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153342.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153428.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153441.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153521.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153524.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153604.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153740.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153805.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153810.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153814.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153827.518:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153828.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153830.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153903.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153905.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153912.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153922.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153946.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153952.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/153955.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154012.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154020.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154029.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154054.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154101.524:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154122.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154123.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154138.509:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154150.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154206.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154208.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154249.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154302.535:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154322.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154350.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154429.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154440.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154444.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154450.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154504.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154516.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154519.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154555.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154557.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154622.518:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154655.517:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154658.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154757.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154804.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154819.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/154924.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155016.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155043.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155051.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155118.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155137.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155206.532:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155211.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155232.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155251.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155316.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155400.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155411.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155445.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155506.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155519.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155557.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155705.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155809.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155834.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155916.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155930.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155933.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155939.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/155941.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160006.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160024.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160044.532:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160117.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160133.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160150.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160202.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160222.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160321.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160328.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160329.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160335.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160349.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160414.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160426.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160444.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160451.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160502.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160520.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160529.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160532.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160539.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160546.532:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160602.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160656.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160723.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160724.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160733.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160749.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160828.532:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160832.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/160932.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161002.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161029.513:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161035.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161059.515:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161112.525:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161126.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161239.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161246.511:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161247.515:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161326.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161422.514:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161515.514:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161636.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161644.522:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161702.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161816.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161914.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/161923.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162118.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162217.533:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162233.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162339.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162459.527:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162623.529:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162625.526:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162710.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162918.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/162935.534:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/163041.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0504/163059.530:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
